Original_faststructure_order	ID	New_Order	Sub_order	Continent	Country
429	Pr_441	469	A200	North_America	USA
430	Pr_442	470	A201	North_America	USA
431	Pr_473	337	A068	North_America	USA
432	Pr_474	338	A069	North_America	USA
433	Pr_475	471	A202	North_America	USA
434	Pr_487	281	A012	North_America	USA
435	Pr_496	289	A020	North_America	USA
436	Pr_5	369	A100	North_America	USA
437	Pr_51	298	A029	North_America	USA
438	Pr_514	280	A011	North_America	USA
439	Pr_531	351	A082	North_America	USA
440	Pr_538	374	A105	North_America	USA
441	Pr_540	283	A014	North_America	USA
442	Pr_57	299	A030	North_America	USA
443	Pr_570	284	A015	North_America	USA
444	Pr_589	278	A009	North_America	USA
445	Pr_59	297	A028	North_America	USA
446	Pr_590	279	A010	North_America	USA
447	Pr_597	327	A058	North_America	Canada
448	Pr_6	370	A101	North_America	USA
449	Pr_606	321	A052	North_America	Canada
450	Pr_614	300	A031	North_America	USA
451	Pr_63	334	A065	North_America	USA
452	Pr_65	331	A062	North_America	USA
453	Pr_67	319	A050	North_America	USA
454	Pr_68	320	A051	North_America	USA
455	Pr_69	332	A063	North_America	USA
456	Pr_7	371	A102	North_America	USA
457	Pr_700	495	A226	North_America	USA
458	Pr_701	496	A227	North_America	USA
459	Pr_702	497	A228	North_America	USA
460	Pr_703	498	A229	North_America	USA
461	Pr_704	499	A230	North_America	USA
462	Pr_706	500	A231	North_America	USA
463	Pr_707	501	A232	North_America	USA
464	Pr_708	502	A233	North_America	USA
465	Pr_709	503	A234	North_America	USA
466	Pr_710	352	A083	North_America	USA
467	Pr_713	353	A084	North_America	USA
468	Pr_718	354	A085	North_America	USA
469	Pr_720	355	A086	North_America	USA
470	Pr_722	356	A087	North_America	USA
471	Pr_738	357	A088	North_America	USA
472	Pr_739	358	A089	North_America	USA
473	Pr_744	359	A090	North_America	USA
474	Pr_747	360	A091	North_America	USA
475	Pr_748	361	A092	North_America	USA
476	Pr_75	329	A060	North_America	USA
477	Pr_750	362	A093	North_America	USA
478	Pr_751	363	A094	North_America	USA
479	Pr_76	330	A061	North_America	USA
480	Pr_761	282	A013	North_America	USA
481	Pr_763	480	A211	North_America	USA
482	Pr_764	481	A212	North_America	USA
483	Pr_765	478	A209	North_America	USA
484	Pr_766	479	A210	North_America	USA
485	Pr_768	475	A206	North_America	USA
486	Pr_769	477	A208	North_America	USA
487	Pr_771	476	A207	North_America	USA
488	Pr_772	474	A205	North_America	USA
489	Pr_775	212	Q	Europe	Portugal
490	Pr_779	198	O	Europe	England
491	Pr_784	199	O	Europe	England
492	Pr_793	130	I	Europe	Finland
493	Pr_8	372	A103	North_America	USA
494	Pr_84	335	A066	North_America	USA
495	Pr_842	225	R	Europe	Spain
496	Pr_867	226	R	Europe	Spain
497	Pr_869	227	R	Europe	Spain
498	Pr_876	228	R	Europe	Spain
499	Pr_877	229	R	Europe	Spain
500	Pr_879	230	R	Europe	Spain
501	Pr_88	467	A198	North_America	USA
502	Pr_880	231	R	Europe	Spain
503	Pr_882	232	R	Europe	Spain
504	Pr_887	56	E	Asia	Japan
505	Pr_888	57	E	Asia	Japan
506	Pr_891	58	E	Asia	Japan
507	Pr_893	59	E	Asia	Japan
508	Pr_894	60	E	Asia	Japan
509	Pr_896	301	A032	North_America	USA
510	Pr_898	302	A033	North_America	USA
511	Pr_899	303	A034	North_America	USA
512	Pr_9	373	A104	North_America	USA
513	Pr_902	304	A035	North_America	USA
514	Pr_909	379	A110	North_America	USA
515	Pr_911	554	E	Australasia	Australia
516	Pr_913	555	E	Australasia	Australia
517	Pr_914	556	E	Australasia	Australia
518	Pr_915	557	E	Australasia	Australia
519	Pr_916	558	E	Australasia	Australia
520	Pr_919	61	F	Asia	Georgia
521	Pr_92	464	A195	North_America	USA
522	Pr_922	62	F	Asia	Georgia
523	Pr_923	63	F	Asia	Georgia
524	Pr_926	64	F	Asia	Georgia
525	Pr_927	65	F	Asia	Georgia
526	Pr_928	66	F	Asia	Georgia
527	Pr_929	67	F	Asia	Georgia
528	Pr_930	68	F	Asia	Georgia
529	Pr_931	69	F	Asia	Georgia
530	Pr_936	70	F	Asia	Georgia
531	Pr_938	71	F	Asia	Georgia
532	Pr_939	72	F	Asia	Georgia
533	Pr_940	73	F	Asia	Georgia
534	Pr_941	74	F	Asia	Georgia
535	Pr_942	75	F	Asia	Georgia
536	Pr_944	133	K	Europe	Czech_Republic
537	Pr_946	134	K	Europe	Czech_Republic
538	Pr_948	135	K	Europe	Czech_Republic
539	Pr_95	465	A196	North_America	USA
540	Pr_950	136	K	Europe	Czech_Republic
541	Pr_951	137	K	Europe	Czech_Republic
542	Pr_954	138	K	Europe	Czech_Republic
543	Pr_955	139	K	Europe	Czech_Republic
544	Pr_957	140	K	Europe	Czech_Republic
545	Pr_959	141	K	Europe	Czech_Republic
546	Pr_960	142	K	Europe	Czech_Republic
547	Pr_961	143	K	Europe	Czech_Republic
548	Pr_965	144	K	Europe	Czech_Republic
549	Pr_970	145	K	Europe	Czech_Republic
550	Pr_975	146	K	Europe	Czech_Republic
551	Pr_976	147	K	Europe	Czech_Republic
552	Pr_977	148	K	Europe	Czech_Republic
553	Pr_982	149	K	Europe	Czech_Republic
554	Pr_983	150	K	Europe	Czech_Republic
555	Pr_985	151	K	Europe	Czech_Republic
556	Pr_988	152	K	Europe	Czech_Republic
557	Pr_991	328	A059	North_America	Canada
558	Pr_992	15	AB	Asia	Russia
559	Pr_993	16	AB	Asia	Russia
